ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-1100,152,306,-468,-5256,2115,0,0,-3
-897,315,698,-180,-6822,2660,0,-1,-4
-57,375,697,279,-3609,1519,0,-3,-4
-151,418,851,46,0,-235,0,-3,-4
-189,442,901,-37,773,-253,0,-3,-4
-276,403,889,-53,1722,-661,0,-2,-4
-654,356,696,-175,3624,-1319,0,-1,-4
-987,291,629,-422,5040,-1546,0,0,-3
-1109,158,283,31,5908,-1742,0,0,-2
-922,27,-305,163,5875,-1633,0,0,0
-642,-143,-655,7,5754,-1512,1,0,1
-35,-108,-905,-93,3090,-766,1,-1,2
115,-117,-984,-125,1032,-64,1,-2,2
73,-147,-976,-102,454,28,1,-2,2
110,-90,-862,-134,-562,135,1,-2,2
-113,-100,-847,12,-2213,579,1,-1,2
-258,-90,-770,147,-4144,943,1,0,2
-840,-102,-545,249,-5658,1206,0,0,0
-1181,-49,-251,233,-4813,1232,0,1,0
-1112,106,217,-70,-4664,1537,0,0,-2
-931,205,491,-398,-4848,1542,0,0,-3
-620,301,719,6,-5173,1740,0,-1,-4
-94,317,886,144,-1592,512,0,-3,-4
-183,371,881,63,78,-32,0,-3,-5
-223,394,903,19,1382,-356,0,-2,-5
-575,337,804,37,3378,-1078,0,-2,-4
-1073,261,564,-266,5653,-1605,0,0,-4
-1300,158,317,-117,7014,-1884,0,0,-1
-857,28,-323,125,7946,-1956,0,0,0
-431,-141,-794,-313,5889,-1302,1,0,2
133,-22,-915,-627,2407,-125,1,-2,2
223,-13,-938,-454,2314,-28,1,-3,2
354,47,-898,-289,880,5,1,-3,2
293,63,-830,-301,62,146,0,-3,2
326,14,-829,79,-1110,381,0,-3,2
127,-30,-818,270,-3589,456,0,-2,2
-261,-79,-655,449,-6584,546,0,0,2
-1230,-63,-262,176,-8747,1183,0,0,0
-1269,7,47,-39,-5739,1358,0,0,-2
-942,199,707,-492,-6209,1546,0,0,-4
-440,224,803,-347,-5234,1212,0,-2,-5
-160,205,977,100,-104,-203,0,-3,-5
-124,230,961,8,551,-205,0,-3,-5
-306,214,867,-7,1520,-320,0,-2,-5
-706,172,831,77,4313,-989,0,-1,-4
-1094,115,508,-142,5719,-1141,0,0,-3
-1331,25,134,115,7667,-1432,0,1,-1
-786,-43,-454,418,8445,-1319,1,0,1
34,-83,-832,151,4426,-548,1,-1,2
44,-180,-945,11,805,32,1,-2,2
160,-62,-775,221,77,-109,1,-2,2
-96,-167,-859,224,-1732,361,1,-1,2
-219,-181,-792,69,-3367,747,1,0,2
-852,-153,-673,-133,-5103,968,1,0,1
-1092,-100,-413,-81,-4740,1161,0,0,0
-1100,86,66,-283,-4999,1468,0,0,-1
-1021,174,572,-119,-5859,1835,0,0,-3
-785,277,571,72,-6182,2191,0,-1,-4
-71,272,987,-11,-1201,305,0,-3,-5
-216,328,871,21,133,-131,0,-3,-4
-172,320,980,-123,520,-258,0,-3,-5
-323,323,867,-23,507,-105,0,-2,-4
-453,284,820,-104,2439,-571,0,-2,-4
-874,267,700,-433,4352,-1181,0,-1,-4
-1133,199,595,-251,6082,-1467,0,0,-3
-934,92,-134,319,6904,-1308,0,0,0
-833,-95,-618,-65,5443,-1007,1,0,1
-346,-66,-834,-203,4059,-486,1,0,2
-36,-78,-1000,-97,2053,46,1,-1,2
103,-68,-965,-48,719,39,1,-2,2
